symbol,name,asset_class,contract_type,exchange,currency
ES,S&P 500,Equity,FUT,CME,USD
NQ,Nasdaq 100,Equity,FUT,CME,USD
RTY,Russell 2000,Equity,FUT,CME,USD
DAX,DAX,Equity,FUT,EUREX,EUR
NIY,Nikkei 225,Equity,FUT,CME,JPY
VIX,VIX Index,Equity,IND,CBOE,USD

CL,WTI Crude,Commodities,FUT,NYMEX,USD
RB,RBOB Gasoline,Commodities,FUT,NYMEX,USD
NG,Natural Gas,Commodities,FUT,NYMEX,USD
HG,Copper,Commodities,FUT,COMEX,USD
GC,Gold,Commodities,FUT,COMEX,USD
SI,Silver,Commodities,FUT,COMEX,USD
ZC,Corn,Commodities,FUT,CBOT,USD
ZW,Wheat,Commodities,FUT,CBOT,USD
ZS,Soybeans,Commodities,FUT,CBOT,USD
SB,Sugar,Commodities,FUT,NYBOT,USD
KC,Coffee,Commodities,FUT,NYBOT,USD
CC,Cocoa,Commodities,FUT,NYBOT,USD
CT,Cotton,Commodities,FUT,NYBOT,USD
LE,Live Cattle,Commodities,FUT,CME,USD
GF,Feeder Cattle,Commodities,FUT,CME,USD
HE,Lean Hogs,Commodities,FUT,CME,USD

DX,Dollar Index,FX,FUT,NYBOT,USD
EUR,EURUSD,FX,CASH,IDEALPRO,USD
GBP,GBPUSD,FX,CASH,IDEALPRO,USD
AUD,AUDUSD,FX,CASH,IDEALPRO,USD
USD,USDCAD,FX,CASH,IDEALPRO,CAD
USD,USDJPY,FX,CASH,IDEALPRO,JPY

ZB,US Treasury, Rates,FUT,CBOT,USD
BTP,Italy BTP,Rates,FUT,EUREX,EUR
GBL,Germany Bund,Rates,FUT,EUREX,EUR

MBT,Bitcoin,Crypto,FUT,CME,USD
MET,Ethereum,Crypto,FUT,CME,USD